1775456756.982569430 rtt_ms=2.343 rttvar_ms=0.527 cwnd=281 bytes_sent=8706824 bytes_received=37 unacked=163 delivery_rate_bps=915731224 retrans= conn="ESTAB 0      1930184 [::ffff:165.194.35.203]:20075 [::ffff:150.228.147.246]:2662 "
1775456757.010697232 rtt_ms=1.744 rttvar_ms=0.728 cwnd=288 bytes_sent=9475920 bytes_received=37 unacked=0 delivery_rate_bps=351991240 retrans= conn="ESTAB 0      1837304 [::ffff:165.194.35.203]:20075 [::ffff:150.228.147.246]:2662 "
1775456757.039545065 rtt_ms=1.744 rttvar_ms=0.728 cwnd=288 bytes_sent=9475920 bytes_received=37 unacked=0 delivery_rate_bps=351991240 retrans= conn="ESTAB 0      1837304 [::ffff:165.194.35.203]:20075 [::ffff:150.228.147.246]:2662 "
1775456757.070406475 rtt_ms=1.355 rttvar_ms=0.792 cwnd=288 bytes_sent=9740696 bytes_received=37 unacked=0 delivery_rate_bps=271546624 retrans= conn="ESTAB 0      2419608 [::ffff:165.194.35.203]:20075 [::ffff:150.228.147.246]:2662 "
1775456757.101732893 rtt_ms=1.213 rttvar_ms=0.047 cwnd=310 bytes_sent=10713752 bytes_received=37 unacked=1 delivery_rate_bps=569260528 retrans= conn="ESTAB 0      2360240 [::ffff:165.194.35.203]:20075 [::ffff:150.228.147.246]:2662 "
1775456757.134440972 rtt_ms=1.117 rttvar_ms=0.168 cwnd=310 bytes_sent=11177112 bytes_received=37 unacked=1 delivery_rate_bps=574639368 retrans= conn="ESTAB 0      1896880 [::ffff:165.194.35.203]:20075 [::ffff:150.228.147.246]:2662 "
1775456757.165809123 rtt_ms=1.096 rttvar_ms=0.256 cwnd=310 bytes_sent=11362456 bytes_received=37 unacked=0 delivery_rate_bps=628284744 retrans= conn="ESTAB 0      2622328 [::ffff:165.194.35.203]:20075 [::ffff:150.228.147.246]:2662 "
1775456757.198833001 rtt_ms=1.096 rttvar_ms=0.256 cwnd=310 bytes_sent=11362456 bytes_received=37 unacked=0 delivery_rate_bps=628284744 retrans= conn="ESTAB 0      2622328 [::ffff:165.194.35.203]:20075 [::ffff:150.228.147.246]:2662 "
1775456757.232420836 rtt_ms=1.096 rttvar_ms=0.256 cwnd=310 bytes_sent=11362456 bytes_received=37 unacked=0 delivery_rate_bps=628284744 retrans= conn="ESTAB 0      2622328 [::ffff:165.194.35.203]:20075 [::ffff:150.228.147.246]:2662 "
1775456757.265931200 rtt_ms=3.13 rttvar_ms=0.373 cwnd=331 bytes_sent=12225464 bytes_received=37 unacked=156 delivery_rate_bps=761687664 retrans= conn="ESTAB 0      1985208 [::ffff:165.194.35.203]:20075 [::ffff:150.228.147.246]:2662 "
